[ 2021-12-18 11:39:53,482 ] Asset loading complete
[ 2021-12-18 11:40:30,103 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2021-12-18 11:40:30,129 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-18 11:40:30,132 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-18 11:40:31,594 ] News query failed: "Error transferring http://127.0.0.1/login.php - server replied: Not Implemented"
[ 2021-12-18 11:45:32,344 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-18 11:45:32,502 ] Disconnected from gameserver
[ 2021-12-18 11:45:34,517 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Knight Sample" )
[ 2021-12-18 11:45:34,536 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-18 11:45:34,540 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2021-12-18 11:45:34,689 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741893 found"
[ 2021-12-18 11:45:35,047 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741957 found"
[ 2021-12-18 11:45:35,280 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741858 found"
[ 2021-12-18 11:45:35,503 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741905 found"
[ 2021-12-18 11:45:35,665 ] News query failed: "Error transferring http://127.0.0.1/login.php - server replied: Not Implemented"
[ 2021-12-18 11:45:35,717 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741895 found"
[ 2021-12-18 11:45:36,183 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741910 found"
[ 2021-12-18 11:45:36,184 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741834 found"
[ 2021-12-18 11:45:36,399 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741978 found"
